	customer_id	probs	churn
5358	6556-DBKZF	0.0670391061452514	No
559	4537-DKTAL	0.5633802816901409	Yes
189	1666-JZPZT	0.18181818181818182	No
4027	7422-WNBTY	0.4337979094076655	No
1589	6478-HRRCZ	0.10569105691056911	No
6207	4685-TFLLS	0.03361344537815126	No
3762	6137-NICCO	0.6303630363036303	Yes
5354	6435-VWCCY	0.016194331983805668	No
4940	7047-FWEYA	0.25547445255474455	No
149	1357-MVDOZ	0.18181818181818182	No
697	5600-PDUJF	0.18181818181818182	No
5798	5018-HEKFO	0.0975609756097561	No
897	7351-MHQVU	0.21671826625386997	No
1882	1506-YJTYT	0.016194331983805668	No
4359	9137-UIYPG	0.38461538461538464	No
1980	3262-EIDHV	0.0029498525073746312	No
5738	3981-QSVQI	0.0975609756097561	No
1924	2252-NKNSI	0.016194331983805668	No
3312	4138-NAXED	0.4337979094076655	No
4412	9420-LOJKX	0.8285714285714286	Yes
6267	6188-UXBBR	0.03361344537815126	No
1185	9637-EIHEQ	0.3125	No
3494	4951-UKAAQ	0.6908212560386473	Yes
5819	5537-UXXVS	0.0975609756097561	No
6780	5846-ABOBJ	0.0029498525073746312	No
1210	9839-ETQOE	0.21671826625386997	No
5501	9695-IDRZR	0.046511627906976744	No
5301	5214-NLTIT	0.0670391061452514	No
107	0988-JRWWP	0.5633802816901409	Yes
259	2229-VWQJH	0.18181818181818182	No
3970	7180-PISOG	0.8838709677419355	Yes
229	2027-OAQQC	0.18181818181818182	No
6172	3750-YHRYO	0.03361344537815126	No
5097	0201-MIBOL	0.0029498525073746312	No
1694	8205-OTCHB	0.14213197969543148	No
414	3538-WZPHD	0.5633802816901409	Yes
1492	4759-PXTAN	0.0670391061452514	No
3753	6087-MVHJH	0.6303630363036303	Yes
5067	9651-GTSAQ	0.45	No
406	3466-WAESX	0.21671826625386997	No
3335	4248-QPAVC	0.21671826625386997	No
2473	0256-LTHVJ	0.4337979094076655	No
32	0319-QZTCO	0.5633802816901409	Yes
4934	6906-MPARY	0.14213197969543148	No
3885	6729-GDNGC	0.4337979094076655	No
1896	1936-CZAKF	0.14213197969543148	No
1402	3181-VTHOE	0.0670391061452514	No
5674	2812-SFXMJ	0.33495145631067963	No
1635	7136-RVDTZ	0.0670391061452514	No
6871	7321-KKSDU	0.016194331983805668	No
6519	1820-DJFPH	0.0029498525073746312	No
7005	9392-XBGTD	0.016194331983805668	No
1122	9058-CBREO	0.5633802816901409	Yes
1846	0771-CHWSK	0.0029498525073746312	No
5820	5539-HIVAK	0.0975609756097561	No
5697	3195-TQDZX	0.33495145631067963	No
6877	7469-LKBCI	0.016194331983805668	No
6585	2729-VNVAP	0.016194331983805668	No
3822	6416-YJTTB	0.21671826625386997	No
6175	3887-PBQAO	0.03361344537815126	No
1613	6872-HXFNF	0.0670391061452514	No
5121	0835-JKADZ	0.1125	No
5164	1813-JYWTO	0.0029498525073746312	No
7022	9631-RXVJM	0.016194331983805668	No
551	4484-CGXFK	0.5633802816901409	Yes
6076	1133-KXCGE	0.03361344537815126	No
4843	5312-IRCFR	0.0670391061452514	No
7017	9585-KKMFD	0.016194331983805668	No
5623	2002-MZHWP	0.33495145631067963	No
959	7794-JASDG	0.33495145631067963	No
1640	7228-PAQPD	0.14213197969543148	No
623	5061-PBXFW	0.21671826625386997	No
